Time,Fz
1.288,744.832222
1.29,746.038002
1.292,745.233192
1.294,744.831062
1.296,745.635532
1.298,746.038212
1.3,746.839812
1.302,746.840022
1.304,747.240992
1.306,748.045802
1.308,748.849112
1.31,749.252132
1.312,750.053392
1.314,750.858202
1.316,750.455732
1.318,750.857862
1.32,752.462772
1.322,752.463932
1.324,754.070342
1.326,754.071842
1.328,754.070892
1.33,753.670262
1.332,754.072052
1.334,753.668422
1.336,754.873862
1.338,754.872152
1.34,754.470022
1.342,754.872702
1.344,754.871542
1.346,754.469072
1.348,754.471122
1.35,754.471122
1.352,754.068992
1.354,754.069542
1.356,753.263572
1.358,752.460472
1.36,750.852562
1.362,750.048092
1.364,748.842652
1.366,748.039212
1.368,747.234742
1.37,747.635582
1.372,747.233792
1.374,745.627042
1.376,745.625542
1.378,744.822232
1.38,744.016472
1.382,742.410062
1.384,740.402682
1.386,738.793612
1.388,738.391142
1.39,737.187202
1.392,736.382052
1.394,735.176272
1.396,734.372962
1.398,732.767102
1.4,731.962502
1.402,731.561872
1.404,731.962502
1.406,732.764102
1.408,733.568022
1.41,734.371672
1.412,733.568022
1.414,732.766082
1.416,731.560642
1.418,729.954232
1.42,729.149082
1.422,729.150582
1.424,728.749952
1.426,728.751112
1.428,729.956552
1.43,730.761362
1.432,731.967142
1.434,731.966592
1.436,732.771402
1.438,733.977182
1.44,734.381022
1.442,735.184122
1.444,735.589462
1.446,735.587962
1.448,734.784652
1.45,734.384022
1.452,733.180632
1.454,732.780002
1.456,731.976692
1.458,732.379712
1.46,731.576402
1.462,730.772752
1.464,729.567312
1.466,729.166132
1.468,728.363372
1.47,727.962192
1.472,727.158542
1.474,725.550422
1.476,725.147742
1.478,723.138992
1.48,721.936762
1.482,720.330012
1.484,719.524992
1.486,719.122652
1.488,719.123812
1.49,719.928962
1.492,720.331092
1.494,721.134192
1.496,722.342022
1.498,721.939342
1.5,721.942892
1.502,722.745652
1.504,723.149832
1.506,723.952932
1.508,725.159872
